month,day,hour,usage
1,31,5,1.963
1,31,6,0.535
1,31,7,0.658
1,31,8,1.27
1,31,9,0.214
1,31,10,0.211
1,31,11,0.209
1,31,12,0.221
1,31,13,0.399
1,31,14,0.219
1,31,15,0.217
1,31,16,0.204
1,31,17,0.32
1,31,18,0.287
1,31,19,0.61
1,31,20,0.836
1,31,21,0.948
1,31,22,1.166
1,31,23,0.834
2,1,0,0.427
2,1,1,0.242
2,1,2,0.217
2,1,3,2.643
2,1,4,3.557
2,1,5,1.675
2,1,6,0.222
2,1,7,0.218
2,1,8,0.206
2,1,9,0.325
2,1,10,0.409
2,1,11,0.248
2,1,12,0.214
2,1,13,0.586
2,1,14,0.948
2,1,15,0.899
2,1,16,1.007
2,1,17,0.71
2,1,18,0.621
2,1,19,0.758
2,1,20,0.735
2,1,21,0.898
2,1,22,0.809
2,1,23,0.676
2,2,0,0.517
2,2,1,0.237
2,2,2,0.193
2,2,3,0.188
2,2,4,0.19
2,2,5,0.198
2,2,6,0.195
2,2,7,0.18
2,2,8,0.339
2,2,9,0.63
2,2,10,1.178
2,2,11,1.674
2,2,12,1.485
2,2,13,1.693
2,2,14,1.118
2,2,15,1.058
2,2,16,1.286
2,2,17,0.899
2,2,18,0.916
2,2,19,1.855
2,2,20,3.239
2,2,21,4.001
2,2,22,1.898
2,2,23,3.156
2,3,0,0.543
2,3,1,0.324
2,3,2,0.312
2,3,3,0.307
2,3,4,0.307
2,3,5,1.298
2,3,6,0.821
2,3,7,0.837
2,3,8,0.372
2,3,9,0.179
2,3,10,0.17
2,3,11,0.182
2,3,12,1.967
2,3,13,1.259
2,3,14,0.187
2,3,15,0.185
2,3,16,0.575
2,3,17,0.54
2,3,18,0.982
2,3,19,0.861
2,3,20,1.006
2,3,21,0.995
2,3,22,0.472
2,3,23,0.32
2,4,0,0.215
2,4,1,0.184
2,4,2,0.182
2,4,3,0.198
2,4,4,3.423
2,4,5,1.135
2,4,6,0.654
2,4,7,0.658
2,4,8,0.468
2,4,9,0.183
2,4,10,0.184
2,4,11,0.173
2,4,12,0.432
2,4,13,0.199
2,4,14,0.188
2,4,15,0.172
2,4,16,0.408
2,4,17,0.501
2,4,18,0.376
2,4,19,0.89
2,4,20,1.267
2,4,21,0.786
2,4,22,0.484
2,4,23,0.246
2,5,0,0.252
2,5,1,0.248
2,5,2,0.248
2,5,3,2.761
2,5,4,3.565
2,5,5,1.876
2,5,6,0.706
2,5,7,0.828
2,5,8,0.463
2,5,9,0.228
2,5,10,0.227
2,5,11,0.229
2,5,12,0.486
2,5,13,0.24
2,5,14,0.228
2,5,15,0.351
2,5,16,0.708
2,5,17,0.699
2,5,18,0.676
2,5,19,1.096
2,5,20,0.822
2,5,21,0.628
2,5,22,0.938
2,5,23,0.923
2,6,0,0.857
2,6,1,0.607
2,6,2,0.242
2,6,3,3.413
2,6,4,3.716
2,6,5,2.141
2,6,6,0.7
2,6,7,0.813
2,6,8,0.425
2,6,9,0.182
2,6,10,0.175
2,6,11,0.182
2,6,12,0.183
2,6,13,0.186
2,6,14,0.578
2,6,15,0.658
2,6,16,0.644
2,6,17,0.771
2,6,18,0.521
2,6,19,1.485
2,6,20,0.768
2,6,21,1.064
2,6,22,1.066
2,6,23,0.954
2,7,0,0.676
2,7,1,0.24
2,7,2,2.376
2,7,3,3.554
2,7,4,3.803
2,7,5,1.835
2,7,6,0.696
2,7,7,0.841
2,7,8,2.075
2,7,9,3.644
2,7,10,3.691
2,7,11,3.613
2,7,12,0.514
2,7,13,2.334
2,7,14,3.018
2,7,15,2.067
2,7,16,0.786
2,7,17,1.162
2,7,18,1.655
2,7,19,0.85
2,7,20,0.724
2,7,21,1.636
2,7,22,1.477
2,7,23,0.603
2,8,0,0.573
2,8,1,0.556
2,8,2,0.551
2,8,3,0.558
2,8,4,0.555
2,8,5,0.559
2,8,6,0.911
2,8,7,0.974
2,8,8,0.732
2,8,9,0.936
2,8,10,0.888
2,8,11,0.627
2,8,12,0.966
2,8,13,0.931
2,8,14,0.989
2,8,15,0.882
2,8,16,0.511
2,8,17,0.52
2,8,18,0.322
2,8,19,0.633
2,8,20,1.067
2,8,21,1.061
2,8,22,1.089
2,8,23,0.609
2,9,0,0.588
2,9,1,0.588
2,9,2,0.581
2,9,3,0.59
2,9,4,2.22
2,9,5,1.59
2,9,6,0.524
2,9,7,0.992
2,9,8,0.613
2,9,9,0.704
2,9,10,0.441
2,9,11,0.846
2,9,12,0.821
2,9,13,0.92
2,9,14,0.48
2,9,15,0.283
2,9,16,0.254
2,9,17,0.2
2,9,18,0.213
2,9,19,0.347
2,9,20,0.868
2,9,21,0.509
2,9,22,0.318
2,9,23,0.208
2,10,0,0.297
2,10,1,0.189
2,10,2,0.196
2,10,3,0.197
2,10,4,1.96
2,10,5,1.298
2,10,6,0.58
2,10,7,0.732
2,10,8,0.422
2,10,9,0.19
2,10,10,0.19
2,10,11,0.182
2,10,12,0.425
2,10,13,0.215
2,10,14,0.183
2,10,15,0.431
2,10,16,0.663
2,10,17,0.623
2,10,18,0.624
2,10,19,1.359
2,10,20,0.664
2,10,21,0.385
2,10,22,0.631
2,10,23,0.362
2,11,0,0.379
2,11,1,0.293
2,11,2,0.281
2,11,3,0.276
2,11,4,0.37
2,11,5,0.699
2,11,6,0.79
2,11,7,1.711
2,11,8,3.596
2,11,9,3.518
2,11,10,1.631
2,11,11,0.184
2,11,12,0.18
2,11,13,0.182
2,11,14,0.405
2,11,15,0.652
2,11,16,0.641
2,11,17,0.645
2,11,18,0.791
2,11,19,2.652
2,11,20,3.447
2,11,21,1.925
2,11,22,1.064
2,11,23,0.256
2,12,0,0.235
2,12,1,0.238
2,12,2,0.233
2,12,3,0.224
2,12,4,0.431
2,12,5,1.918
2,12,6,0.695
2,12,7,0.796
2,12,8,0.532
2,12,9,0.234
2,12,10,0.219
2,12,11,0.247
2,12,12,0.559
2,12,13,0.328
2,12,14,0.224
2,12,15,0.24
2,12,16,0.655
2,12,17,0.551
2,12,18,0.736
2,12,19,2.558
2,12,20,1.966
2,12,21,0.588
2,12,22,0.536
2,12,23,0.279
2,13,0,0.232
2,13,1,0.247
2,13,2,0.23
2,13,3,0.315
2,13,4,3.561
2,13,5,1.696
2,13,6,0.695
2,13,7,0.782
2,13,8,0.517
2,13,9,0.238
2,13,10,0.223
2,13,11,0.232
2,13,12,0.218
2,13,13,0.232
2,13,14,0.238
2,13,15,0.227
2,13,16,0.226
2,13,17,0.486
2,13,18,0.523
2,13,19,0.74
2,13,20,0.662
2,13,21,0.782
2,13,22,0.908
2,13,23,0.758
2,14,0,0.269
2,14,1,0.242
2,14,2,0.232
2,14,3,0.232
2,14,4,1.414
2,14,5,1.574
2,14,6,0.692
2,14,7,0.585
2,14,8,0.467
2,14,9,0.187
2,14,10,0.193
2,14,11,0.188
2,14,12,0.289
2,14,13,0.283
2,14,14,0.196
2,14,15,0.221
2,14,16,0.298
2,14,17,0.189
2,14,18,0.216
2,14,19,0.284
2,14,20,0.594
2,14,21,0.466
2,14,22,0.47
2,14,23,0.432
2,15,0,0.23
2,15,1,0.199
2,15,2,0.286
2,15,3,3.514
2,15,4,3.511
2,15,5,1.694
2,15,6,0.308
2,15,7,0.289
2,15,8,0.227
2,15,9,0.572
2,15,10,0.526
2,15,11,0.59
2,15,12,0.86
2,15,13,0.599
2,15,14,0.186
2,15,15,0.19
2,15,16,0.212
2,15,17,0.178
2,15,18,0.197
2,15,19,0.209
2,15,20,0.416
2,15,21,1.659
2,15,22,1.445
2,15,23,0.291
2,16,0,0.279
2,16,1,1.076
2,16,2,3.618
2,16,3,3.568
2,16,4,3.528
2,16,5,1.432
2,16,6,0.185
2,16,7,0.212
2,16,8,0.194
2,16,9,0.379
2,16,10,0.173
2,16,11,0.174
2,16,12,0.19
2,16,13,1.413
2,16,14,0.207
2,16,15,0.189
2,16,16,0.21
2,16,17,0.193
2,16,18,0.482
2,16,19,0.898
2,16,20,0.658
2,16,21,3.595
2,16,22,0.654
2,16,23,0.586
2,17,0,0.388
2,17,1,0.378
2,17,2,3.092
2,17,3,3.815
2,17,4,3.727
2,17,5,1.381
2,17,6,0.382
2,17,7,0.683
2,17,8,0.372
2,17,9,0.343
2,17,10,0.381
2,17,11,0.434
2,17,12,0.32
2,17,13,0.294
2,17,14,0.274
2,17,15,0.271
2,17,16,0.282
2,17,17,0.293
2,17,18,0.573
2,17,19,0.586
2,17,20,0.653
2,17,21,0.655
2,17,22,1.443
2,17,23,1.065
2,18,0,0.249
2,18,1,0.241
2,18,2,0.257
2,18,3,0.257
2,18,4,1.782
2,18,5,1.366
2,18,6,0.263
2,18,7,0.499
2,18,8,0.421
2,18,9,0.315
2,18,10,0.2
2,18,11,0.198
2,18,12,0.214
2,18,13,0.196
2,18,14,0.192
2,18,15,0.211
2,18,16,0.224
2,18,17,0.192
2,18,18,0.482
2,18,19,1.083
2,18,20,0.75
2,18,21,0.958
2,18,22,0.914
2,18,23,0.676
2,19,0,0.55
2,19,1,0.615
2,19,2,2.492
2,19,3,3.817
2,19,4,3.734
2,19,5,1.56
2,19,6,0.413
2,19,7,0.597
2,19,8,0.358
2,19,9,0.37
2,19,10,0.463
2,19,11,0.564
2,19,12,0.672
2,19,13,0.534
2,19,14,0.368
